structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z
4215,13,141667089,CX,"SOG-i","superior occipital gyrus, left, inferior bank of gyrus",127562730,141,88,171,-50.0,-80.0,21.0,-47.2004842548439,-79.446910301832702,21.9537590972736
4237,11,141667177,CX,"CgGr-s","cingulate gyrus, retrosplenial part, left, superior bank of gyrus",127512019,109,111,144,-18.0,-53.0,-2.0,-14.416934631172801,-51.5911530374701,-3.27468993537864
4090,9,141667207,CX,"PoG-pcs","postcentral gyrus, left, bank of the posterior central sulcus",127050458,138,59,118,-47.0,-27.0,50.0,-47.8289502587835,-29.622440199590301,47.2408515761525
4107,9,139409861,CX,"SMG-i","supramarginal gyrus, left, inferior bank of gyrus",127050410,159,79,119,-68.0,-28.0,30.0,-66.021632336812203,-28.742102793404801,25.1079725733123
4106,9,139409845,CX,"SMG-s","supramarginal gyrus, left, superior bank of gyrus",127050409,149,64,119,-58.0,-28.0,45.0,-59.069315373650902,-31.4061169766542,40.7196573959806
4149,7,139409841,CX,"ITG-its","inferior temporal gyrus, left, bank of the its",126525177,125,147,93,-34.0,-2.0,-38.0,-32.507375824508699,-2.0062892788566802,-39.1516413664148
4142,7,139409825,CX,"MTG-s","middle temporal gyrus, left, superior bank of gyrus",126703433,154,126,94,-63.0,-3.0,-17.0,-60.522643033761497,-5.6307257220433202,-18.4483470549195
4224,5,127687007,CX,"CgGf-i","cingulate gyrus, frontal part, left, inferior bank of gyrus",123644654,95,89,71,-4.0,20.0,20.0,-4.2719306176416696,19.843787506808798,23.4454740396798
4178,5,127687057,CX,"PLP","planum polare, left",123636950,143,122,74,-52.0,17.0,-13.0,-50.428427661544099,12.3122275423418,-15.3048643968291
4898,2,127687001,CX,"SRoG","superior rostral gyrus, left",121081990,95,123,31,-4.0,60.0,-14.0,-4.1316849509139297,59.000102863541798,-12.6835218523823
4060,2,127687065,CX,"LOrG","lateral orbital gyrus, left",121112951,128,117,32,-37.0,59.0,-8.0,-35.534345922881698,59.798461433164,-8.45757720958148
4194,14,141667185,CX,"LiG-str","lingual gyrus, left, striate",127563328,100,129,177,-9.0,-86.0,-20.0,-7.9838618762477598,-83.666785319191106,-15.0671991991655
4193,14,141667169,CX,"LiG-pest","lingual gyrus, left, peristriate",127563329,113,125,176,-22.0,-85.0,-16.0,-19.786910969319901,-83.067630041490503,-11.3695181778167
4187,14,141667153,CX,"Cun-str","cuneus, left, striate",127563327,98,110,176,-7.0,-85.0,-1.0,-5.3523607055425098,-83.052046061213005,1.09501368014711
4186,14,141667137,CX,"Cun-pest","cuneus, left, peristriate",127563326,98,99,177,-7.0,-86.0,10.0,-6.5008368676419899,-83.5327346359053,11.9872674206444
4120,13,141667229,CX,"Pcu-s","precuneus, left, superior lateral bank of gyrus",127562782,93,59,166,-2.0,-75.0,50.0,-2.12398220549631,-70.964567388729094,50.237496225892
4113,13,141667103,CX,"AnG-s","angular gyrus, left, superior bank of gyrus",127562530,122,60,167,-31.0,-76.0,49.0,-32.881458825163598,-73.648066139918697,50.0275615875794
4194,13,141667199,CX,"LiG-str","lingual gyrus, left, striate",127562687,101,107,166,-10.0,-75.0,2.0,-8.9022107889365802,-72.053172409704601,2.4929591114645
4193,13,141667183,CX,"LiG-pest","lingual gyrus, left, peristriate",127562688,110,109,166,-19.0,-75.0,0.0,-17.219867336275499,-73.492397016799302,0.74506983600904
4208,13,141667263,CX,"IOG-i","inferior occipital gyrus, left, inferior bank of gyrus",127562732,144,116,170,-53.0,-79.0,-7.0,-48.322918324459401,-79.847557293839799,-5.69727467824789
4121,12,141667179,CX,"Pcu-i","precuneus, left, inferior lateral bank of gyrus",127562274,97,49,155,-6.0,-64.0,60.0,-7.4665390030616097,-63.274409394472599,59.4002850695181
4114,12,141667227,CX,"AnG-i","angular gyrus, left, inferior bank of gyrus",127562172,126,68,156,-35.0,-65.0,41.0,-37.663214873992999,-65.548560735477494,41.0600035516939
4099,12,141667195,CX,"SPL-i","superior parietal lobule, left, inferior bank of gyrus",127562174,115,77,156,-24.0,-65.0,32.0,-24.784541161112401,-64.850413062323298,32.7724034727752
4231,12,141667133,CX,"CgGp-i","cingulate gyrus, parietal part, left, inferior bank of gyrus",127554739,110,100,153,-19.0,-62.0,9.0,-19.818961514842002,-61.229435776192801,10.6498079704695
4230,12,141667117,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",127554738,96,90,153,-5.0,-62.0,19.0,-4.6253858153856697,-60.214148671432902,20.7178391235831
4201,12,141667213,CX,"OTG-i","occipito-temporal gyrus, left, inferior bank of gyrus",127562209,141,123,157,-50.0,-66.0,-14.0,-44.275601549101303,-67.138429656342495,-13.1184321808138
4200,12,141667197,CX,"OTG-s","occipito-temporal gyrus, left, superior bank of gyrus",127562208,132,117,155,-41.0,-64.0,-8.0,-35.5495550807249,-64.557727500781795,-9.09255985162159
4230,11,141667255,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",127511917,100,63,143,-9.0,-52.0,46.0,-9.0918074605501698,-51.954211112898697,46.0159912462405
4237,11,141667145,CX,"CgGr-s","cingulate gyrus, retrosplenial part, left, superior bank of gyrus",127512018,107,111,144,-16.0,-53.0,-2.0,-12.553161783314099,-51.6125945866346,-3.73887285518209
4231,11,141667129,CX,"CgGp-i","cingulate gyrus, parietal part, left, inferior bank of gyrus",127512016,101,75,143,-10.0,-52.0,34.0,-10.2686751137624,-49.933299763800299,35.5367070099394
4107,11,141667209,CX,"SMG-i","supramarginal gyrus, left, inferior bank of gyrus",127511948,149,86,146,-58.0,-55.0,23.0,-55.006340730641398,-53.950136515412503,20.2010196317222
4106,11,141667193,CX,"SMG-s","supramarginal gyrus, left, superior bank of gyrus",127511947,145,73,146,-54.0,-55.0,36.0,-53.111968263615303,-54.5247112147295,35.2261611027944
4193,11,141667131,CX,"LiG-pest","lingual gyrus, left, peristriate",127514491,117,117,145,-26.0,-54.0,-8.0,-21.263366231022999,-53.6054926869257,-9.35196358038079
4193,11,141667083,CX,"LiG-pest","lingual gyrus, left, peristriate",127514490,115,118,145,-24.0,-54.0,-9.0,-19.454967709458401,-53.540380967915503,-10.9149742893453
4143,8,139409907,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",127045317,150,129,106,-59.0,-15.0,-20.0,-55.883002636698897,-18.6189076747455,-20.9059675445881
4136,8,139409811,CX,"STG-i","superior temporal gyrus, left, inferior bank of gyrus",127048540,157,97,107,-66.0,-16.0,12.0,-65.194258281484693,-20.115811717688999,4.26978274574732
4013,8,139409749,CX,"PrG-sl","precentral gyrus, left, superior lateral aspect of gyrus",127045208,120,41,104,-29.0,-13.0,68.0,-33.335507461836201,-11.688607639867,65.419267214689
4106,8,139409795,CX,"SMG-s","supramarginal gyrus, left, superior bank of gyrus",127048706,149,61,105,-58.0,-14.0,48.0,-59.8309278533116,-16.1118891161465,44.6791098166611
4088,8,139409779,CX,"PoG-sl","postcentral gyrus, left, superior lateral aspect of gyrus",127048705,135,45,105,-44.0,-14.0,64.0,-49.282260944263498,-16.432218299820001,60.6796581420855
4143,9,139409767,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",127050503,155,122,122,-64.0,-31.0,-13.0,-61.636069050857301,-35.625619417723399,-10.4065566058044
4072,9,139409799,CX,"PCLa","paracentral lobule, anterior part, left",127050746,100,69,118,-9.0,-27.0,40.0,-9.3599551419136802,-25.214201832709801,44.8343747606201
4098,10,139409847,CX,"SPL-s","superior parietal lobule, left, superior bank of gyrus",127056990,105,38,128,-14.0,-37.0,71.0,-13.530662847878499,-37.1885350522914,70.8309565458107
4230,10,139409911,CX,"CgGp-s","cingulate gyrus, parietal part, left, superior bank of gyrus",127056267,95,64,127,-4.0,-36.0,45.0,-2.80258803931578,-34.531165568969797,47.4854508069866
4142,10,141667125,CX,"MTG-s","middle temporal gyrus, left, superior bank of gyrus",127056952,161,104,135,-70.0,-44.0,5.0,-66.728943682199002,-46.601252701159297,2.97718874994085
4136,10,139409801,CX,"STG-i","superior temporal gyrus, left, inferior bank of gyrus",127056953,155,89,134,-64.0,-43.0,20.0,-59.973920475582602,-43.207124315042599,16.3478592663321
4160,10,141667189,CX,"FuG-cos","fusiform gyrus, left, bank of cos",127056052,130,127,132,-39.0,-41.0,-18.0,-32.086626998611102,-41.268474272168199,-17.7671913071019
4158,10,141667157,CX,"FuG-its","fusiform gyrus, left, bank of the its",127056113,139,129,133,-48.0,-42.0,-20.0,-41.645042365430498,-43.411352164250701,-18.3015979382532
4151,10,141667253,CX,"ITG-mts","inferior temporal gyrus, left, bank of mts",127055991,157,117,134,-66.0,-43.0,-8.0,-63.264650521040203,-47.061275149138801,-6.48300345572807
4150,10,141667237,CX,"ITG-l","inferior temporal gyrus, left, lateral bank of gyrus",127055992,156,131,134,-65.0,-43.0,-22.0,-63.421570624120903,-45.298572202084301,-17.9195419026108
4143,10,141667221,CX,"MTG-i","middle temporal gyrus, left, inferior bank of gyrus",127055990,157,111,135,-66.0,-44.0,-2.0,-63.190880964267599,-47.560861335921501,-2.15910694594608
4223,7,139409921,CX,"CgGf-s","cingulate gyrus, frontal part, left, superior bank of gyrus",126712218,93,65,90,-2.0,1.0,44.0,-3.0355927760027899,0.57747758859403997,46.1952487619383
4024,7,139409855,CX,"SFG-l","superior frontal gyrus, left, lateral bank of gyrus",126707525,110,55,90,-19.0,1.0,54.0,-22.599982010756399,-0.895782607955799,53.9806510138556
4023,7,139409839,CX,"SFG-m","superior frontal gyrus, left, medial bank of gyrus",126707524,92,39,89,-1.0,2.0,70.0,-2.6457478946542099,1.63303082569827,68.9240344805783
4012,7,139409887,CX,"PrG-prc","precentral gyrus, left, bank of the precentral sulcus",126709266,133,55,91,-42.0,0.0,54.0,-45.350339257486603,-2.83587758810167,52.1893207522191
4270,7,139409793,CX,"LIG","long insular gyri, left",126712343,133,109,92,-42.0,-1.0,0.0,-41.223705936846102,-2.0919305533297101,-0.552268565552761
4136,7,139409809,CX,"STG-i","superior temporal gyrus, left, inferior bank of gyrus",126703434,148,123,94,-57.0,-3.0,-14.0,-53.811756145381203,-5.6954760498776196,-15.6055507892326
4273,6,139409823,CX,"SIG","short insular gyri, left",125142345,125,104,81,-34.0,10.0,5.0,-35.453387736135099,10.192689648544899,5.84169879226093
4288,6,139409807,CX,"Pu","putamen, left",123591460,110,103,82,-19.0,9.0,6.0,-20.2090962047955,8.7118104300368593,7.13278516119004
4178,6,139409775,CX,"PLP","planum polare, left",124123901,145,114,81,-54.0,10.0,-5.0,-51.605811932824501,7.4809401750949203,-6.04380627693036
